epoch,lr,train_loss,train_acc,val_acc,time_s,loss_ce
1,0.1,2.2991656806658614,0.1749111111111111,0.2752,70.09098267555237,2.2991656806658614
2,0.09997532801828658,1.7687881284139373,0.3390444444444444,0.4324,38.442009925842285,1.7687881284139373
3,0.09990133642141358,1.4853403043340554,0.45695555555555556,0.5606,38.42626667022705,1.4853403043340554
4,0.099778098230154,1.2415627645836635,0.5579555555555555,0.6078,40.82309675216675,1.2415627645836635
5,0.0996057350657239,1.0571092202920804,0.6249777777777777,0.6946,40.878145933151245,1.0571092202920804
6,0.09938441702975688,0.9066829391839829,0.6832666666666667,0.7248,39.657657861709595,0.9066829391839829
7,0.09911436253643444,0.8144865616817366,0.7168444444444444,0.6852,38.93695664405823,0.8144865616817366
8,0.09879583809693737,0.7637900127605959,0.7351777777777778,0.7624,39.84235405921936,0.7637900127605959
9,0.09842915805643156,0.7124663604084741,0.7522,0.7674,40.7867591381073,0.7124663604084741
10,0.09801468428384716,0.6847341012378986,0.7644222222222222,0.7664,39.22647786140442,0.6847341012378986
11,0.09755282581475769,0.6554471276361834,0.7758666666666667,0.7658,38.99717044830322,0.6554471276361834
12,0.09704403844771128,0.6370758279650048,0.7792888888888889,0.7916,39.38498783111572,0.6370758279650048
13,0.09648882429441258,0.6186012872071429,0.7866222222222222,0.8006,38.98554444313049,0.6186012872071429
14,0.09588773128419906,0.5941648817705837,0.7968,0.7778,38.96986150741577,0.5941648817705837
15,0.09524135262330098,0.5913606037131764,0.7977777777777778,0.7934,39.379990339279175,0.5913606037131764
16,0.0945503262094184,0.5729122806171124,0.8042,0.7558,37.95478820800781,0.5729122806171124
17,0.09381533400219319,0.5639406705952503,0.8073555555555556,0.8348,38.957061529159546,0.5639406705952503
18,0.0930371013501972,0.5532087905501778,0.8109111111111111,0.7838,40.49001955986023,0.5532087905501778
19,0.09221639627510078,0.5346381334079937,0.8170444444444445,0.8388,38.70930099487305,0.5346381334079937
20,0.09135402871372812,0.5352023828097365,0.816,0.7884,38.564170598983765,0.5352023828097365
21,0.09045084971874741,0.5202789895913817,0.8227111111111111,0.783,39.07957911491394,0.5202789895913817
22,0.08950775061878455,0.519775174727494,0.8218444444444445,0.8176,39.20236587524414,0.519775174727494
23,0.0885256621387895,0.5056150471791625,0.8260222222222222,0.8332,37.997742652893066,0.5056150471791625
24,0.08750555348152302,0.5048470750281756,0.826,0.805,39.759137868881226,0.5048470750281756
25,0.08644843137107061,0.4938119299371134,0.8306666666666667,0.8194,39.73476576805115,0.4938119299371134
26,0.0853553390593274,0.48356450095095416,0.8348888888888889,0.7544,38.38704037666321,0.48356450095095416
27,0.08422735529643446,0.475008730776608,0.8360222222222222,0.867,39.25555872917175,0.475008730776608
28,0.08306559326618262,0.4763548616319895,0.8366444444444444,0.8402,40.62753701210022,0.4763548616319895
29,0.08187119948743452,0.4740096970715306,0.8372444444444445,0.8402,38.67941880226135,0.4740096970715306
30,0.08064535268264886,0.45528482129289344,0.8431333333333333,0.8074,38.409910440444946,0.45528482129289344
31,0.0793892626146237,0.46235376389019867,0.8415111111111111,0.7824,40.393487215042114,0.46235376389019867
32,0.07810416889260657,0.45559436709366063,0.8444222222222222,0.856,39.679447412490845,0.45559436709366063
33,0.07679133974894986,0.4473784157836979,0.8479777777777778,0.863,37.863996505737305,0.4473784157836979
34,0.0754520707875186,0.43361962044780905,0.8525333333333334,0.8658,39.06016826629639,0.43361962044780905
35,0.0740876837050858,0.43906675245274196,0.8491777777777778,0.879,37.71622633934021,0.43906675245274196
36,0.07269952498697738,0.4235956290398132,0.8548666666666667,0.8574,38.923025369644165,0.4235956290398132
37,0.07128896457825366,0.415112975646149,0.8581555555555556,0.851,39.26463222503662,0.415112975646149
38,0.06985739453173906,0.4145493019287559,0.8590444444444445,0.8316,39.24771547317505,0.4145493019287559
39,0.06840622763423394,0.4169658579948274,0.8565555555555555,0.8778,37.545201539993286,0.4169658579948274
40,0.06693689601226462,0.4017722014422444,0.8629333333333333,0.8622,39.14225506782532,0.4017722014422444
41,0.06545084971874741,0.3975143765776672,0.8644222222222222,0.875,38.33696889877319,0.3975143765776672
42,0.06394955530196152,0.39543491043150425,0.8637555555555556,0.858,37.59832549095154,0.39543491043150425
43,0.062434494358242776,0.3844055789099498,0.8692222222222222,0.8574,39.1624116897583,0.3844055789099498
44,0.06090716206982718,0.3819589013318447,0.8697111111111111,0.8812,37.48219656944275,0.3819589013318447
45,0.05936906572928628,0.38122753659263253,0.8699333333333333,0.8794,39.32029938697815,0.38122753659263253
46,0.05782172325201159,0.3690028990280222,0.8735555555555555,0.8648,39.26643419265747,0.3690028990280222
47,0.056266661678215264,0.36132175593890925,0.8768222222222222,0.8726,38.03389620780945,0.36132175593890925
48,0.05470541566592575,0.35451464338058775,0.8793111111111112,0.8694,37.828256130218506,0.35451464338058775
49,0.053139525976465714,0.3606823471544141,0.8754666666666666,0.8476,39.19993734359741,0.3606823471544141
