epoch,lr,train_loss,train_acc,val_acc,time_s,mix_to_dummy,loss_known,loss_cp,loss_dp,dummy_second
1,0.001,0.6040705698965625,0.9992444444444445,0.9514,57.079930782318115,0.08040857797657902,0.079214716016643,0.20485925109295006,3.1999659782106225,0.9636896306818182
2,0.0009990133642141358,0.3388531582260674,0.9994222222222222,0.9504,26.91622042655945,0.14213423295454544,0.10598496853543277,0.018767766522201287,2.141004191880876,0.9999556107954546
3,0.000996057350657239,0.3231071879748594,0.9995111111111111,0.9506,28.519486665725708,0.16158163668164474,0.10392564628273249,0.013584665165663782,2.0559687319804323,0.9998668323863636
4,0.0009911436253643444,0.3102921139956875,0.9995555555555555,0.9518,28.859574794769287,0.17957899305673147,0.10134047716432674,0.01167936115631495,1.9727227222174406,0.9999112215909091
5,0.0009842915805643156,0.31105173197151587,0.9991555555555556,0.9528,29.889322519302368,0.17443970959654756,0.10258173451504925,0.011224649683836933,1.9724534396082163,0.9999556107954546
6,0.0009755282581475769,0.305529717779295,0.9994222222222222,0.9532,29.40156626701355,0.17524857954545456,0.10039520462636244,0.010356977592561056,1.9477753190493041,0.9999112215909091
7,0.0009648882429441258,0.2883454432541674,0.9992888888888889,0.9508,29.273556232452393,0.2215859769758853,0.09802107445218346,0.010466363475478085,1.7985800201581283,0.9998668323863636
8,0.0009524135262330099,0.2712942613712089,0.9992888888888889,0.9508,28.230188369750977,0.27055220170454547,0.09785882713781162,0.011467328961853955,1.619681029411202,1.0
9,0.0009381533400219318,0.18320365563373675,0.9987111111111111,0.9492,28.258248805999756,0.5805417455902154,0.07779587805271149,0.015512348851189017,0.8989542734343559,0.9996004971590909
10,0.0009221639627510075,0.11485092966309325,0.9987555555555555,0.9442,28.398372888565063,0.8322186710482294,0.05244026604553007,0.017553078701232815,0.4485758366169069,0.9993440261618658
11,0.0009045084971874736,0.11339930951362476,0.9985333333333334,0.9108,27.971797227859497,0.8365145596590909,0.0477122830608013,0.016984119453065268,0.4870290614992634,0.9989346590909091
12,0.0008852566213878945,0.06892526532861996,0.9986222222222222,0.9044,28.10374879837036,0.9398526278409091,0.03216972046224824,0.016174472905483774,0.20581071832301942,0.9987127130681818
13,0.0008644843137107056,0.06977643807079982,0.9984888888888889,0.9274,28.45866060256958,0.9236505681818182,0.03041223701968027,0.01426419981395487,0.2510000055296008,0.9989790482954546
14,0.0008422735529643443,0.05908101109724322,0.9986222222222222,0.9116,28.352158546447754,0.95068359375,0.026746699526980097,0.014063329237449745,0.1827098216612781,0.9985795454545454
15,0.0008187119948743448,0.07727571130222217,0.9987555555555555,0.92,28.444647312164307,0.8994584517045454,0.029587513152033684,0.012504417713816192,0.35183779574369756,0.9992453835227273
16,0.0007938926261462366,0.06844066123647446,0.9987111111111111,0.9164,28.640600204467773,0.9230735085227273,0.02902693594594232,0.012016272307267751,0.27397452910240233,0.9990678267045454
17,0.0007679133974894982,0.08112087001262064,0.9988888888888889,0.8866,27.97500991821289,0.8772194602272727,0.030336190613029015,0.010845154251331802,0.39939524199210363,0.9991122159090909
18,0.0007408768370508576,0.04596068004453131,0.9988,0.8932,27.76602005958557,0.9693270596590909,0.02174737023993988,0.011354496379763905,0.12858813104949976,0.9990678267045454
19,0.0007128896457825362,0.05015973711587404,0.9993333333333333,0.8882,28.309421062469482,0.9423828125,0.020267491293700667,0.010244508353273639,0.1964773759722117,0.99951171875
20,0.0006840622763423389,0.0382863430607937,0.9991111111111111,0.8902,28.210411071777344,0.9751420454545454,0.01796107299874579,0.01006521481824827,0.10260055035310374,0.9993440261618658
21,0.0006545084971874735,0.05249868346568705,0.9994666666666666,0.916,28.591046810150146,0.9324396306818182,0.018727932691531765,0.008793599539785646,0.2497715069885916,0.9996004971590909
22,0.0006243449435824271,0.043617430037226186,0.9991111111111111,0.9258,29.19026517868042,0.9565626972947608,0.018781537187433885,0.009671939604397101,0.15163952685411045,0.9992897727272727
23,0.0005936906572928622,0.05290358793255026,0.9992444444444445,0.8964,29.850182056427002,0.9358132102272727,0.018805597949804822,0.008297847369579937,0.2580014236670898,0.9996004971590909
24,0.000562666616782152,0.03471792347475209,0.9993333333333333,0.9032,29.417539834976196,0.9734552556818182,0.01568253626597156,0.008357299053882756,0.10678088105421259,0.9994673295454546
25,0.0005313952597646566,0.030144541230666535,0.9993333333333333,0.8646,29.1699960231781,0.9817116477272727,0.014457088893819177,0.008477166263301942,0.07210286056612279,0.9993341619318182
26,0.0004999999999999998,0.03593085924248127,0.9992888888888889,0.9028,28.78651523590088,0.9671519886363636,0.014355993779397315,0.008051747686377812,0.1352311775858239,0.9992897727272727
27,0.00046860474023534314,0.025347748734268614,0.9993333333333333,0.9014,28.970824480056763,0.9886807528409091,0.012009918736690783,0.007714441706246527,0.056233883140852085,0.9995561079545454
28,0.00043733338321784774,0.0380244526472366,0.9993333333333333,0.8816,28.922996044158936,0.9580965909090909,0.015629375844913408,0.007290175174685745,0.15104901429334527,0.9994673295454546
29,0.00040630934270713756,0.03780879586966793,0.9995555555555555,0.9482,29.211064100265503,0.9579288983632895,0.012620457252937327,0.007048769856654954,0.18139568669589193,0.9995561079545454
30,0.00037565505641757246,0.047537014822327445,0.9994666666666666,0.8934,29.210729837417603,0.9392311789772727,0.018086990688144313,0.006658051375945268,0.22791972413092895,0.9996892755681818
31,0.00034549150281252633,0.022177819183773616,0.9996444444444444,0.896,28.485324144363403,0.9866388494318182,0.011190156073346523,0.006742961795349733,0.04244701443398795,0.9997780539772727
32,0.00031593772365766105,0.04102291950733739,0.9996,0.8548,28.47041606903076,0.9525035511363636,0.01277051801100077,0.00658777964814693,0.2166462142367064,0.9998224431818182
33,0.00028711035421746355,0.03187331952292218,0.9996,0.874,28.595622301101685,0.9687943892045454,0.01142757499606391,0.006436678233678156,0.14009065862046555,0.9996448863636364
34,0.0002591231629491422,0.023845203408696267,0.9994666666666666,0.851,28.675190687179565,0.9879705255681818,0.011583721125630704,0.006676884513581172,0.055845976997674865,0.9995561079545454
35,0.00023208660251050145,0.02282138063641138,0.9995111111111111,0.8798,28.481648921966553,0.9840198863636364,0.010531949714773376,0.006355392818725456,0.0593403805740474,0.9996448863636364
