score_a,score_b,spearman_test_plus_unknown,spearman_known_test,spearman_unknown_only
msp,mls,0.9599915247277853,0.9512701373826548,0.915279671007684
msp,energy,0.9584743253349696,0.9504596696885967,0.883718267077448
msp,mahalanobis,0.6964311967925989,0.5686182562061826,0.9216195758279594
mls,energy,0.9998622460268934,0.9999359154993566,0.9963854087443003
mls,mahalanobis,0.5857253820213248,0.4285233804192318,0.8194860915961295
energy,mahalanobis,0.5838624857353135,0.4272610834926108,0.7894843806579612
