score,auroc_near,auroc_far,auroc_all,tau,test_accept,near_reject,far_reject,all_reject,fpr95_near,fpr95_far,fpr95_all
msp,0.8210064374999999,0.8975713750000002,0.85928890625,0.15828604332598187,0.9462,0.27875000000000005,0.43625,0.35750000000000004,0.72125,0.56375,0.6425
mls,0.8064069374999999,0.89402175,0.85021434375,-5.780368304252624,0.9511,0.31875,0.53,0.42437499999999995,0.68125,0.47,0.575625
energy,0.8066556874999999,0.8944237500000002,0.8505397187499999,-5.967682782611775,0.9529,0.32999999999999996,0.54375,0.436875,0.67,0.45625,0.563125
mahalanobis,0.8053603125000001,0.918873875,0.8621170937499999,2929.3096842369573,0.9479,0.28,0.5225,0.40125,0.72,0.4775,0.59875
